OMP_PLACES is set to cores
OMP_PROC_BINDING is set to true
+ 64 threads in execution - -
thread  0 is running on core  0
thread  3 is running on core  3
thread  2 is running on core  2
thread  1 is running on core  1
thread 14 is running on core 14
thread 15 is running on core 15
thread 12 is running on core 12
thread 13 is running on core 13
thread  7 is running on core  7
thread  5 is running on core  5
thread  6 is running on core  6
thread  4 is running on core  4
thread 10 is running on core 10
thread  9 is running on core  9
thread 11 is running on core 11
thread  8 is running on core  8
thread 27 is running on core 27
thread 25 is running on core 25
thread 24 is running on core 24
thread 26 is running on core 26
thread 45 is running on core 45
thread 44 is running on core 44
thread 47 is running on core 47
thread 46 is running on core 46
thread 42 is running on core 42
thread 43 is running on core 43
thread 40 is running on core 40
thread 41 is running on core 41
thread 35 is running on core 35
thread 34 is running on core 34
thread 32 is running on core 32
thread 33 is running on core 33
thread 22 is running on core 22
thread 23 is running on core 23
thread 20 is running on core 20
thread 21 is running on core 21
thread 30 is running on core 30
thread 31 is running on core 31
thread 29 is running on core 29
thread 28 is running on core 28
thread 56 is running on core 56
thread 59 is running on core 59
thread 57 is running on core 57
thread 58 is running on core 58
thread 19 is running on core 19
thread 16 is running on core 16
thread 17 is running on core 17
thread 18 is running on core 18
thread 36 is running on core 36
thread 38 is running on core 38
thread 39 is running on core 39
thread 37 is running on core 37
thread 53 is running on core 53
thread 55 is running on core 55
thread 52 is running on core 52
thread 54 is running on core 54
thread 48 is running on core 48
thread 50 is running on core 50
thread 51 is running on core 51
thread 49 is running on core 49
thread 63 is running on core 63
thread 61 is running on core 61
thread 62 is running on core 62
thread 60 is running on core 60
